Gene	cont_rep1	cont_rep2	treat_rep1	treat_rep1
CG3014	19	1	29	0
CG30148	0	0	0	0
CG30151	0	0	2	0
CG30152	113	154	91	32
CG30154	4	11	2	10
CG30156	1	0	12	1
CG30157	47	30	52	6
CG30158	2	0	9	0
CG30159	464	486	502	97
CG3016	1387	800	800	153
CG30160	0	2	0	0
CG30161	0	1	3	0
CG30172	0	0	6	0
CG30177	1	0	0	1
CG30178	0	0	2	0
CG30181	1	0	3	0
CG30183	59	95	87	16
CG30184	19	0	8	0
CG30185	1315	1084	806	223
CG30187	19	4	21	2
CG30192	0	0	0	0
CG30194	2	0	12	0
CG30195	9	2	20	1
CG30196	0	3	3	0
CG30197	250	148	233	40
CG30203	2	0	1	0
CG3021	734	380	340	77
CG30222	0	0	0	0
CG30259	2	0	1	0
CG30263	0	0	7	0
CG30265	0	0	1	0
CG30268	0	1	0	0
CG30269	21	0	12	1
CG30270	0	0	0	0
CG30271	0	0	0	0
CG30272	0	0	1	0
CG30273	7	2	2	3
CG30274	0	0	0	0
CG30275	5	0	0	0
CG30278	1	0	2	0
CG30279	0	0	0	0
CG30280	0	0	0	0
CG30281	0	0	2	0
CG30283	0	0	10	0
CG30284	0	0	0	0
CG30285	8	10	12	9
CG30286	0	0	0	0
CG30287	0	0	1	0
CG30288	0	0	0	0
CG30289	2	0	2	0
CG30291	564	364	548	90
CG3032	30	29	44	9
CG30323	0	0	3	0
CG30324	0	0	0	0
CG30325	0	0	0	0
CG3033	1934	1036	1172	179
CG30334	47	28	4	4
CG30338	85	85	59	19
CG30339	0	0	3	0
CG30340	0	0	4	1
CG30343	163	101	130	31
CG30344	926	727	778	135
CG30345	241	121	277	194
CG30349	257	312	282	68
CG30350	1	0	4	0
CG30354	0	0	0	0
CG30355	3	0	3	0
CG30356	2	2	1	0
CG30357	0	1	2	1
CG3036	245	149	322	40
CG30369	0	0	2	0
CG30371	0	2	7	2
CG30373	1092	728	625	159
CG30375	0	0	0	2
CG30376	0	0	7	0
CG30377	370	174	339	38
CG30378	1	0	3	1
CG30379	2	0	0	0
CG3038	1316	1011	1310	288
CG30380	3	0	4	0
CG30381	475	243	267	44
CG30382	2265	1886	1760	659
CG30383	34	32	46	11
CG30384	6	0	3	0
CG30385	1	0	0	0
CG30389	117	90	180	11
CG30391	2	0	2	0
CG30392	1693	1703	1221	562
CG30393	0	0	3	0
CG30394	27	54	51	15
CG30395	1	0	0	0
CG30398	2	0	0	0
CG3040	729	568	530	124
CG30401	2	11	6	2
CG30403	570	329	437	90
CG30409	8	0	14	2
CG30411	0	2	4	1
CG30412	0	0	0	0
CG30413	0	0	0	0
CG30414	38	39	22	2
CG30415	1686	1119	1589	186
CG30416	0	0	0	0
CG30417	0	0	0	0
CG30419	0	0	1	0
CG30421	331	120	347	30
CG30423	2790	1434	2037	396
CG30424	3	2	3	0
CG30427	1	1	10	0
CG30428	80	46	37	3
CG30429	1	0	0	0
CG30430	0	0	0	0
CG30431	4	1	3	0
CG30432	2	0	2	0
CG30438	28	9	12	3
CG30440	31	60	36	13
CG30441	12	16	16	1
CG30447	0	0	1	0
CG3045	204	217	194	63
CG30456	66	38	59	5
CG30457	0	0	0	0
CG30458	0	0	7	0
CG30460	22	10	15	6
CG30463	136	57	178	19
CG30466	43	32	25	15
CG30467	68	111	140	16
CG30471	2	0	0	0
CG30472	0	0	1	0
CG30479	0	0	0	0
CG30480	0	0	0	0
CG30484	1	2	1	0
CG30485	2	0	8	0
CG30486	0	2	0	0
CG30487	0	0	1	0
CG30488	0	3	0	0
CG30491	157	84	93	17
CG30493	173	193	198	22
CG30495	1	0	5	1
CG30496	142	146	258	21
CG30497	434	350	546	115
CG30499	1857	2305	1669	587
CG30503	21	10	26	1
CG3061	109	476	132	84
CG3062	0	0	0	0
CG3065	51	71	52	16
CG3071	3703	1480	2755	299
CG3077	128	113	133	14
CG3078	2	0	3	0
CG3081	0	0	6	0
CG3085	45	79	116	11
CG3088	2	0	0	0
CG3091	0	5	13	1
CG3092	0	0	0	0
CG3097	5	1	6	0
CG31002	0	1	1	0
CG31004	1	21	0	7
CG31007	0	0	0	0
CG31008	0	2	0	0
CG31010	1	0	0	0
CG31013	7	3	2	1
CG31016	0	0	6	0
CG31019	0	0	5	0
CG31021	1	0	3	0
CG31028	17	0	12	0
CG31029	27	1	41	3
CG31030	0	0	0	0
CG31031	2	0	10	1
CG31033	1479	516	797	93
CG31036	0	0	1	0
CG31038	70	46	70	12
CG3104	9	0	6	0
CG31041	4	0	4	0
CG31050	0	0	0	0
CG31051	0	0	0	0
CG31053	116	91	117	20
CG31055	0	0	2	0
CG31058	1	0	3	0
CG3106	1	5	6	1
CG31064	152	138	200	26
CG31065	0	0	3	0
CG31068	0	0	1	0
CG3107	2342	1175	4338	523
CG31075	2780	1318	1725	352
CG31076	12	0	10	0
CG31077	5	0	3	1
CG3108	8	0	2	0
CG31086	0	0	0	0
CG31087	0	2	0	0
CG31088	0	0	2	0
CG31089	0	0	0	0
CG31091	4	0	0	5
CG31093	4	0	2	0
CG31097	0	0	1	0
CG31098	122	143	100	22
CG31099	3	0	0	0
CG31100	0	0	2	0
CG31102	0	4	9	0
CG31103	0	0	0	0
CG31104	2	8	1	0
CG31105	3	0	0	1
CG31106	7	4	25	0
CG31108	112	181	145	57
CG31109	198	301	121	68
CG31111	385	457	318	138
CG31115	4	0	6	0
CG31120	807	486	571	121
CG31121	90	29	128	8
CG31122	78	37	161	7
CG31125	3	1	11	1
CG31126	75	60	48	12
CG31128	0	0	0	0
CG31131	0	0	0	0
CG31139	0	0	12	1
CG31140	4	0	21	0
CG31141	2	3	6	0
CG31142	254	84	251	18
CG31145	233	26	232	3
CG31148	1	0	0	0
CG31156	268	263	385	69
CG31157	0	0	6	1
CG31161	5	3	3	0
CG3117	0	0	0	0
CG31174	14	8	8	3
CG31176	7	1	2	0
CG31178	0	0	0	1
CG31183	2	1	10	1
CG31189	0	0	2	0
CG3119	3	0	1	0
CG31191	0	0	0	0
CG31195	432	258	617	39
CG31198	6	31	18	4
CG31199	0	0	5	0
CG31200	0	0	0	0
CG31202	12	1	1	0
CG31204	0	0	1	3
CG31205	0	0	0	0
CG31206	0	0	0	0
CG31207	1	0	0	0
CG3121	1	1	1	0
CG31211	270	77	244	42
CG31213	0	0	0	0
CG31219	0	0	0	0
CG31220	1	1	1	1
CG31221	0	0	6	0
CG31223	190	269	129	35
CG31224	89	106	99	24
CG31226	0	2	0	2
CG31229	585	973	404	191
CG3123	3	0	2	1
CG31230	2	0	7	0
CG31231	1	2	2	0
CG31233	0	0	2	0
CG31235	0	0	1	0
CG3124	0	1	0	0
CG31244	2	0	2	0
CG31245	1	0	0	0
CG31248	0	4	0	0
CG31249	384	270	439	45
CG31251	163	279	117	69
CG31253	0	0	0	0
CG31259	0	1	1	0
CG31262	1094	602	958	146
CG31265	0	0	0	0
CG31266	1	0	4	0
CG31267	0	0	0	0
CG31268	0	1	0	0
CG31269	0	0	0	0
CG31272	9	5	24	9
CG31274	344	313	135	16
CG31275	0	0	0	0
CG31278	146	129	161	30
CG31279	80	85	68	14
CG31286	0	0	0	0
CG31287	9	0	1	0
CG31288	0	2	2	1
CG31291	1	0	7	0
CG31294	1	3	0	0
CG31296	0	0	0	0
CG31300	0	0	1	0
CG31301	266	289	296	61
CG31313	23	43	31	5
CG31320	49	97	74	23
CG31321	3	0	3	0
CG31323	3	20	37	6
CG31324	73	15	120	6
CG31326	1	1	0	1
CG31327	0	0	0	0
CG31337	0	0	0	0
CG31342	99	136	149	38
CG31343	1	0	5	0
CG31344	478	379	295	95
CG31345	0	0	1	0
CG31347	14	0	18	0
CG31357	28	56	38	8
CG31358	1	0	0	0
CG31360	685	1104	436	285
CG31365	157	192	201	34
CG31368	35	118	53	9
CG31370	65	17	80	18
CG31371	0	0	0	0
CG31373	151	272	139	74
CG31380	0	0	1	0
CG31381	15	22	40	10
CG31388	7	36	4	7
CG31391	2	1	1	1
CG31404	1	0	0	0
CG31406	2	0	7	0
CG31407	0	0	1	0
CG31413	2	0	0	0
CG31414	0	0	0	0
CG31415	0	2	2	0
CG31418	0	0	1	0
CG31419	2	0	0	0
CG31427	0	0	0	0
CG31431	62	49	24	10
CG31436	9	6	23	2
CG31437	1	2	0	0
CG31441	50	84	31	13
CG31445	4	5	1	1
CG31446	0	4	0	0
CG31454	0	1	3	0
CG31457	945	1000	537	220
CG31459	1	0	0	0
CG31460	260	580	234	104
CG31462	16	4	3	2
CG31463	0	0	0	0
CG31464	0	0	0	0
CG31465	4	0	1	0
CG31467	4	3	1	2
CG31468	0	4	0	0
CG31469	6	5	5	1
CG31472	1661	1271	1142	299
CG31473	24	5	38	2
CG31475	1	0	3	0
CG31477	0	5	9	0
CG31482	0	0	0	0
CG3149	756	440	449	89
CG31493	0	0	0	0
CG31495	450	518	340	105
CG31496	0	0	2	0
CG31510	22	42	14	15
CG31515	2	0	0	0
CG31516	5	0	3	1
CG31517	538	458	470	96
CG31522	199	112	163	5
CG31523	151	141	228	28
CG31524	0	0	0	0
CG31525	5	0	16	0
CG31526	0	0	1	0
CG31528	2	0	4	0
CG31533	1	0	0	0
CG31538	0	3	0	0
CG31542	3	0	0	0
CG31544	0	0	1	0
CG31546	1	0	3	0
CG31547	6	10	1	0
CG31548	1201	932	700	185
CG31549	2095	1421	1653	419
CG31550	62	57	92	5
CG31551	4	0	4	0
CG31556	8	0	7	0
CG31559	3	0	5	0
CG3156	347	233	322	27
CG31560	0	0	0	0
CG31562	0	0	0	0
CG3160	279	188	327	37
CG31600	0	0	0	0
CG31601	0	0	0	0
CG31606	2	0	6	0
CG31609	0	0	0	0
CG31612	4	6	11	1
CG31619	6	8	31	8
CG31624	0	0	0	0
CG31626	0	0	0	0
CG31627	0	0	0	0
CG3163	78	63	122	9
CG31633	46	93	44	26
CG31635	113	147	230	55
CG31636	0	0	4	0
CG31637	914	420	514	79
CG31638	416	337	246	31
CG31639	0	0	0	0
CG3164	301	128	489	47
CG31642	7	1	15	0
CG31643	133	186	154	37
CG31644	0	0	0	0
CG31646	3	1	1	0
CG31648	435	355	351	66
CG3165	574	963	475	225
CG31650	721	193	547	35
CG31659	0	0	1	0
CG31661	461	79	265	19
CG31663	1	0	14	5
CG31664	0	0	0	0
CG31668	3	0	0	1
CG31673	487	348	314	74
CG31674	32	34	61	15
CG31675	4	4	1	1
CG31676	27	5	31	2
CG31677	0	0	0	0
CG31678	61	77	107	34
CG3168	55	8	146	14
CG31680	1	0	1	0
CG31681	0	12	1	0
CG31683	258	145	195	16
CG31687	581	189	624	19
CG31688	1975	971	913	162
CG31689	1551	343	1332	71
CG31690	3	0	9	2
CG31693	0	0	0	0
CG31694	1070	1409	1693	361
CG31697	5	1	6	0
CG31698	0	0	0	0
CG31702	2	0	0	0
CG31703	0	0	0	0
CG31704	2	0	4	0
CG31705	280	70	301	24
CG31706	0	0	0	0
CG31708	9	0	0	0
CG31709	0	0	1	0
CG31710	1	1	7	2
CG31712	189	243	291	86
CG31715	3009	3008	2369	884
CG31717	845	1204	546	290
CG31728	6	0	10	0
CG31729	3239	999	2043	151
CG31730	0	0	0	0
CG31731	93	121	69	29
CG31735	0	0	0	0
CG31739	92	79	73	6
CG31740	0	2	0	2
CG31741	1	0	0	0
CG31742	0	0	0	0
CG31743	49	16	7	1
CG31750	0	0	0	0
CG31751	15	14	40	5
CG31752	1	0	0	1
CG31759	56	67	71	25
CG3176	90	117	104	54
CG31760	9	0	0	0
CG31769	1	2	0	0
CG31773	1	0	1	0
CG31775	0	0	0	0
CG31776	0	0	1	1
CG31777	0	2	11	2
CG31778	0	5	4	0
CG31780	2	0	0	0
CG31784	1	0	1	0
CG31785	0	0	0	1
CG31787	0	0	0	0
CG31788	0	0	0	0
CG31789	0	0	0	0
CG31792	0	0	1	0
CG31793	337	156	316	30
CG31797	0	0	0	0
CG31798	2	0	2	0
CG31800	477	626	375	144
CG31802	0	0	1	0
CG31803	3	0	4	0
CG31804	0	0	0	0
CG31805	1	4	4	0
CG31806	0	0	0	0
CG31807	21	17	40	1
CG31808	16	11	41	5
CG31809	1	1	9	0
CG31810	1	1	1	0
CG31812	241	67	103	9
CG31813	0	0	0	0
CG31814	1	0	0	0
CG31815	1	1	2	0
CG31816	1	0	0	0
CG31817	2	4	7	5
CG31819	5	0	0	0
CG31820	0	0	0	0
CG31821	3	1	12	0
CG31823	0	2	12	0
CG31826	0	5	8	7
CG31827	0	0	0	0
CG31832	3	1	0	0
CG31835	0	0	0	0
CG3184	463	431	369	119
CG31848	0	0	2	0
CG31849	675	277	305	72
CG31851	0	0	2	0
CG31855	330	145	260	57
CG31860	0	0	5	0
CG31861	0	0	0	0
CG31862	0	0	2	0
CG31867	0	0	0	0
CG31869	94	14	486	5
CG31870	1	0	0	0
CG31871	1	0	4	0
CG31872	3	0	3	0
CG31874	1	3	4	0
CG31875	426	165	551	65
CG31882	2	0	9	0
CG31883	0	0	4	0
CG31886	58	48	24	21
CG31897	12	3	8	1
CG31898	64	54	39	14
CG31904	14	16	9	0
CG31907	1	0	5	0
CG31908	575	215	479	43
CG31909	0	0	0	0
CG3191	14	9	28	4
CG31910	0	0	0	0
CG31913	1	0	0	0
CG31915	99	44	138	22
CG31917	402	625	281	123
CG31918	249	78	210	16
CG3192	606	1019	548	185
CG31921	2	0	6	0
CG31922	185	93	129	29
CG31924	0	0	0	0
CG31926	44	18	79	5
CG31928	63	42	117	9
CG31933	0	0	1	0
CG31935	192	132	210	18
CG31937	443	864	464	197
CG31948	0	0	0	0
CG31949	0	0	0	0
CG31950	167	282	144	52
CG31952	0	0	5	0
CG31954	0	0	0	0
CG31955	37	10	54	2
CG31957	804	606	619	120
CG31958	0	0	0	0
CG31960	0	0	0	0
CG31961	8	34	23	23
CG31974	0	0	9	0
CG31975	6	0	0	0
CG31976	5	0	0	0
CG3198	93	41	107	12
CG31988	0	0	0	2
CG3199	2	0	0	0
CG31997	10	5	28	1
CG31998	338	316	263	90
CG31999	6	11	20	2
CG32000	470	295	519	60
CG32006	1	0	0	0
CG32016	165	191	175	108
CG32017	27	15	42	4
CG32022	161	365	129	66
CG32023	9	1	12	10
CG32024	1	0	1	0
CG32026	1	0	2	0
CG32032	1	9	12	2
CG32036	3	0	10	2
CG32037	10	0	11	0
CG32038	433	436	445	122
CG32039	1114	1122	755	269
CG32040	0	0	0	0
CG32043	237	213	233	58
CG32052	0	0	4	0
CG32053	1	0	0	0
CG32054	0	3	1	0
CG32055	2	0	7	0
CG32061	0	0	0	0
CG32066	2016	953	1251	162
CG32068	744	1015	690	327
CG32069	1271	1246	1173	261
CG32071	2	0	0	0
CG32073	0	0	0	0
CG32074	2	0	0	0
CG32075	320	190	416	90
CG32079	0	0	0	0
CG32081	2	0	1	0
CG32082	1	0	3	0
CG32085	3	2	7	0
CG32086	0	1	8	0
CG32087	2	1	1	1
CG32088	1	0	4	3
CG3209	2279	1283	1541	222
CG32091	248	51	331	16
CG32095	508	408	248	80
CG32100	25	53	23	12
CG32102	0	0	0	0
CG32103	359	215	311	37
CG32104	102	67	142	29
CG32105	2	0	0	0
CG32106	5	0	0	0
CG32107	0	0	0	0
CG32109	563	650	719	264
CG32110	0	1	3	0
CG32111	0	0	0	0
CG32112	82	184	106	73
CG32113	27	61	21	13
CG32115	1	0	3	0
CG32117	0	0	0	0
CG32119	0	0	1	0
CG32121	1	0	5	0
CG3213	0	1	0	2
CG32137	87	22	97	3
CG32138	156	170	298	27
CG3214	481	484	419	92
CG32141	2	1	3	0
CG32147	820	787	435	140
CG32148	1	0	0	0
CG3215	0	0	0	0
CG32150	4	0	0	0
CG32152	23	3	26	0
CG3216	0	0	0	0
CG32161	5	4	13	1
CG32163	207	200	192	52
CG32164	193	645	305	91
CG32165	8	57	24	4
CG32170	1	2	5	0
CG32174	461	425	360	50
CG32176	7	29	20	4
CG32181	4	0	2	0
CG32182	1	0	0	0
CG32187	0	0	2	0
CG32188	9	0	4	0
CG32189	7	0	0	0
CG32191	1	0	7	0
CG32192	0	0	2	0
CG32195	58	31	54	4
CG32196	85	56	94	12
CG32198	2	0	0	0
CG32199	1	0	1	0
CG32201	9	1	5	0
CG32202	414	469	303	141
CG32204	18	2	7	0
CG32206	0	0	1	0
CG32212	727	7	548	2
CG32213	1	0	0	0
CG32214	387	289	140	31
CG32219	1	0	1	0
CG3222	2	0	2	2
CG32221	563	611	366	127
CG32225	1	2	1	0
CG32228	1	0	1	0
CG3223	157	202	271	47
CG32230	13720	9921	11491	2565
CG32232	1	0	2	0
CG32235	0	0	0	0
CG32236	0	0	1	0
CG32237	0	0	1	0
CG32238	2	0	0	0
CG3224	677	361	828	92
CG32240	0	0	0	0
CG32241	0	0	0	0
CG32243	345	216	923	190
CG32246	3	0	8	0
CG32248	2	0	0	0
CG32249	0	0	2	0
CG3225	436	248	189	42
CG32250	320	249	239	28
CG32259	2	3	1	4
CG3226	824	1088	732	184
CG32260	0	0	0	0
CG32262	388	287	258	77
CG32263	0	0	0	0
CG32264	480	159	428	36
CG32266	0	0	0	0
CG32267	1080	838	1072	167
CG32269	0	0	2	0
CG32270	0	0	1	0
CG32271	0	0	6	0
CG32276	2174	1273	2396	332
CG32277	2	1	3	0
CG32278	627	454	632	126
CG32280	9	4	11	1
CG32281	195	168	227	41
CG32284	5	0	2	0
CG32295	0	0	3	0
CG32298	0	0	1	0
CG32299	0	0	1	0
CG32301	0	0	0	0
CG32302	10	1	14	0
CG32305	1	0	5	0
CG32313	10	0	0	0
CG32318	0	0	41	22
CG32319	0	0	0	0
CG32320	26	35	27	21
CG32333	0	0	14	0
CG32335	0	0	8	0
CG32344	89	92	188	16
CG32350	1128	2100	2366	833
CG32354	6	6	11	0
CG32364	211	213	64	13
CG32365	25	25	44	2
CG32368	4	1	14	2
CG32369	12	17	30	5
CG32371	0	0	0	0
CG32373	20	17	16	12
CG32374	0	0	0	0
CG32376	0	0	3	0
CG32379	1	0	1	0
CG3238	855	658	729	159
CG32388	0	0	0	0
CG3239	0	5	0	0
CG32391	0	0	0	0
CG32392	0	0	2	0
CG32395	0	0	1	0
CG32396	0	0	1	0
CG32406	3	0	0	0
CG32407	7	0	4	0
CG32409	1535	662	1133	151
CG32413	0	0	1	0
CG32425	1505	331	1541	81
CG32428	1501	742	1566	180
CG32432	0	0	1	0
CG32436	9	3	6	1
CG32437	1	0	2	0
CG32440	3	0	0	0
CG32441	1613	1709	1147	426
CG32442	496	521	275	78
CG32444	26	33	69	18
CG32445	0	0	0	0
CG32447	1	0	3	0
CG32448	328	340	130	36
CG32450	0	0	0	0
CG32452	19	63	29	10
CG32453	0	0	0	0
CG32454	1	0	1	0
CG32457	4	0	0	0
CG32459	1	0	1	0
CG3246	3	5	9	2
CG32461	0	0	7	0
CG32462	0	0	0	0
CG32473	100	139	130	18
CG32479	147	208	179	44
CG32483	1	2	3	2
CG32485	167	283	182	49
CG32486	39	37	48	14
CG32487	0	0	1	0
CG32488	0	0	0	0
CG32495	562	384	318	39
CG32500	239	75	204	15
CG32506	7	2	5	3
CG32507	3	0	0	0
CG3251	7	0	10	0
CG32512	30	15	107	5
CG32521	331	116	354	16
CG32523	0	0	1	0
CG3253	0	0	0	3
CG32532	1	0	5	2
CG32533	578	182	355	41
CG32536	548	332	189	64
CG32537	519	384	347	94
CG32544	499	0	449	0
CG32547	0	0	0	0
CG32548	0	0	0	0
CG32549	49	11	93	7
CG32551	0	0	0	0
CG32553	1	0	4	0
CG32554	36	11	64	2
CG32557	5	0	1	1
CG32563	0	0	0	0
CG32564	0	0	0	0
CG32568	0	0	14	0
CG3257	1	0	0	1
CG32572	2	1	13	2
CG32573	3	4	3	1
CG32576	338	273	298	54
CG32579	715	676	426	118
CG32581	100	131	78	28
CG32582	8	17	10	5
CG32588	0	0	0	0
CG3259	2	2	0	1
CG32590	190	210	150	62
CG32591	0	0	2	0
CG32595	16	41	38	14
CG32599	25	4	15	1
CG32603	2	0	0	0
CG3262	549	170	342	56
CG32625	620	324	501	87
CG32626	371	293	476	64
CG32628	4	0	1	0
CG32631	0	0	0	0
CG32633	0	0	0	0
CG32638	771	436	452	118
CG32639	4	0	1	0
CG3264	0	0	1	4
CG32640	618	427	322	114
CG32641	228	559	273	136
CG32642	347	34	670	21
CG32643	1	0	0	0
CG32645	82	8	158	3
CG32647	0	1	0	1
CG32649	916	435	611	113
CG32650	4	0	5	0
CG32651	1	0	2	0
CG32652	0	0	0	0
CG32655	0	0	0	0
CG32667	24	2	0	0
CG32668	2	0	4	0
CG32669	7	4	9	2
CG3267	788	680	752	121
CG32676	1193	292	1280	72
CG32679	2	0	15	1
CG32681	3	0	1	0
CG32683	0	0	1	0
CG32686	0	0	3	0
CG32687	47	49	79	6
CG32694	2	1	6	0
CG32695	5	6	7	4
CG32698	10	20	10	2
CG32699	261	357	279	76
CG3270	11	4	33	1
CG32700	22	0	17	0
CG32702	81	26	98	9
CG32706	12	2	3	1
CG32708	553	458	477	155
CG3271	232	313	224	60
CG32712	4	0	3	2
CG32713	0	0	1	0
CG32718	0	0	0	0
CG32719	1	0	2	0
CG32720	0	0	8	0
CG32726	0	0	0	0
CG32727	0	0	0	0
CG32732	1467	798	811	131
CG32736	177	242	214	61
CG32750	0	1	1	0
CG32751	0	0	0	0
CG32755	6	1	0	0
CG32756	511	587	499	96
CG32758	571	454	451	58
CG32762	0	0	0	0
CG32767	138	88	65	19
CG3277	1	2	5	1
CG32772	284	147	238	23
CG32773	44	20	9	0
CG32783	0	2	0	0
CG32786	0	18	0	5
CG32791	33	8	43	7
CG32792	0	0	4	0
CG32793	1	0	8	0
CG32795	997	888	826	192
CG32797	2	0	3	0
CG3280	1	2	6	3
CG32801	0	1	0	0
CG32803	245	285	278	65
CG32806	1	0	1	0
CG32808	11	2	10	2
CG32809	44	11	36	4
CG3281	68	188	132	38
CG32811	0	0	0	0
CG32812	1	0	3	1
CG32813	25	6	15	0
CG32814	5	1	12	0
CG32815	20	0	8	0
CG32816	4	3	28	4
CG32817	116	78	131	46
CG32819	7	3	0	2
CG32820	7	3	0	2
CG32829	0	0	2	0
CG32832	0	0	2	0
CG32833	4	0	0	0
CG32834	2	6	0	0
CG32845	6	0	0	0
CG32846	0	0	0	0
CG32847	1	0	2	0
CG3285	0	0	5	0
CG32850	916	711	549	126
CG32855	4	0	5	0
CG32856	917	713	585	169
CG32857	584	307	176	42
CG3288	0	3	3	0
CG3290	3	2	40	5
CG3292	0	0	2	0
CG32939	208	390	193	136
CG3294	15	9	21	3
CG32944	22	2	11	7
CG32945	0	0	0	0
CG3295	487	462	440	131
CG32971	0	0	7	0
CG32982	2	5	49	0
CG32983	2	0	0	0
CG32984	0	0	2	0
CG32985	1	0	1	0
CG32986	0	0	0	0
CG32987	1	0	0	0
CG32988	0	0	3	0
CG33003	0	0	3	0
CG3301	3	0	0	0
CG33012	0	0	3	0
CG33017	3	0	3	0
CG3303	26	115	31	19
CG33051	147	51	129	14
CG33052	162	93	165	14
CG33054	244	143	134	30
CG33056	42	87	71	1
CG33057	61	102	76	24
CG3306	0	0	0	0
CG33060	0	0	0	0
CG33061	0	0	0	0
CG33062	34	50	4	4
CG3308	33	63	41	9
CG33080	57	28	23	4
CG33082	14	7	22	2
CG3309	869	296	521	59
CG33090	1101	645	959	81
CG33093	10	1	8	0
CG33095	15	30	56	19
CG33096	518	332	224	36
CG33098	0	0	0	0
CG33099	33	13	147	17
CG33107	516	431	321	98
CG33108	61	67	53	11
CG33109	0	0	0	0
CG33110	0	0	5	0
CG33111	21	53	30	21
CG33116	879	348	643	70
CG33120	1	0	0	0
CG33123	297	247	332	43
CG33124	6	0	0	0
CG33125	4	0	1	0
CG33127	0	1	0	0
CG33128	0	0	9	2
CG33129	9662	4575	7486	1236
CG3313	1908	1576	927	329
CG33136	0	0	0	0
CG33137	0	2	2	0
CG33138	5360	2437	2441	358
CG33140	0	1	5	0
CG33143	5	1	3	0
CG33144	360	154	256	20
CG33145	225	173	289	26
CG33155	1357	757	1226	340
CG33156	1000	87	733	12
CG33158	237	193	305	41
CG33159	0	0	0	0
CG33160	2	0	0	0
CG33169	174	167	187	39
CG33170	823	1001	328	154
CG33172	77	123	67	24
CG33177	2	0	0	0
CG33178	20	0	24	0
CG33181	456	91	265	5
CG33189	2	0	1	0
CG33191	0	0	0	0
CG33199	2337	1503	2043	407
CG33203	0	0	1	0
CG3321	337	728	188	148
CG33213	159	307	156	49
CG33217	894	735	1890	300
CG33223	15	0	25	9
CG33225	9	0	1	0
CG33226	1	0	2	1
CG33228	127	116	104	16
CG33229	5700	4623	10136	3304
CG3323	1	2	4	1
CG33230	63	89	86	15
CG33232	84	118	180	23
CG33233	2	0	2	0
CG33234	1	0	0	0
CG33235	0	0	1	1
CG33252	0	0	0	1
CG33253	1	1	0	0
CG33255	1628	11	1537	0
CG33257	0	0	0	0
CG33258	1	4	11	4
CG33259	0	0	0	0
CG3326	177	165	196	21
CG33260	27	18	23	2
CG33262	0	0	0	0
CG33263	0	0	0	0
CG33267	0	0	0	0
CG33268	0	0	0	0
CG33269	0	0	0	0
CG33270	0	0	0	0
CG33271	0	0	0	0
CG33275	359	234	286	25
CG33276	260	155	145	25
CG33278	6	0	3	0
CG3328	16	4	7	0
CG33281	7	0	8	1
CG33282	4	0	2	0
CG33284	0	5	0	0
CG33285	2	0	0	0
CG33286	1	0	0	0
CG33287	0	0	0	0
CG33288	7	1	8	0
CG33289	1	0	2	0
CG33290	2	0	2	0
CG33293	0	0	2	0
CG33296	0	0	0	0
CG33298	222	302	163	92
CG33299	0	0	0	0
CG3330	0	0	0	0
CG33301	0	8	8	1
CG33303	792	786	1364	207
CG33306	0	0	3	0
CG33307	0	1	0	0
CG33308	0	0	1	0
CG33309	2	0	0	0
CG33310	0	0	0	0
CG3332	0	0	4	0
CG33322	0	0	1	0
CG33325	0	0	0	0
CG33331	288	315	269	59
CG33332	58	102	89	9
CG33333	0	0	0	0
CG33337	0	0	8	0
CG33339	0	0	1	0
CG33340	0	1	0	0
CG33341	1	0	1	0
CG33342	0	0	0	0
CG33346	0	0	1	0
CG3335	78	117	115	33
CG3337	134	190	71	19
CG3338	55	83	83	16
CG3339	0	0	0	0
CG3342	361	321	456	63
CG3344	3	3	11	0
CG3345	10	0	10	0
CG33453	0	0	0	0
CG33454	2	0	2	0
CG33458	0	0	0	0
CG33459	0	0	0	0
CG33460	1	0	5	0
CG33461	2	0	2	0
CG33462	1	0	1	0
CG33463	0	0	0	0
CG33465	0	0	1	1
CG33467	0	0	2	0
CG33468	0	0	2	0
CG33469	15	5	15	1
CG3347	0	0	0	0
CG33470	3	17	8	1
CG33474	7	3	19	2
CG33475	0	0	2	0
CG33476	0	0	4	0
CG33477	4	0	0	0
CG3348	325	104	251	52
CG33483	0	0	0	0
CG33487	0	0	0	0
CG33489	0	1	0	0
CG3349	5	0	1	0
CG33490	4	0	0	0
CG33491	43	0	0	0
CG33493	10	0	3	0
CG33494	12	6	18	1
CG33496	0	0	0	0
CG33498	0	0	0	0
CG33502	372	379	218	95
CG33506	389	655	324	118
CG33509	2	0	1	0
CG33510	0	0	0	0
CG33511	0	0	3	0
CG33514	19	12	24	0
CG33521	5	0	28	1
CG33523	3019	1383	1603	244
CG3353	741	534	609	105
CG33543	0	0	2	0
CG3355	0	0	0	0
CG33552	7	1	2	2
CG33557	2	3	5	1
CG3356	125	158	252	35
CG3358	168	174	107	25
CG3362	71	81	130	7
CG33626	0	0	0	0
CG33627	0	0	0	1
CG3363	43	70	45	34
CG33630	0	0	0	0
CG33631	0	0	0	0
CG33632	0	0	0	0
CG33635	173	166	97	22
CG33639	0	0	0	0
CG33640	0	0	2	0
CG33641	0	0	3	0
CG33642	1	0	1	0
CG33643	0	0	2	0
